time,open,high,low,close,tick_volume,spread,real_volume
2024-01-15 12:00:00,1.09467,1.0959,1.09334,1.09505,13027,2,0
2024-01-15 16:00:00,1.09506,1.09526,1.09381,1.0948,10275,2,0
2024-01-15 20:00:00,1.09482,1.09536,1.09477,1.09504,1501,2,0
2024-01-16 00:00:00,1.09476,1.09508,1.0915300000000001,1.09275,7938,2,0
2024-01-16 04:00:00,1.09275,1.09276,1.09126,1.0915300000000001,7145,2,0
2024-01-16 08:00:00,1.0915300000000001,1.09266,1.08838,1.08861,17907,2,0
2024-01-16 12:00:00,1.08864,1.08978,1.08715,1.0874,19742,2,0
2024-01-16 16:00:00,1.08741,1.08946,1.08619,1.0863,29522,2,0
2024-01-16 20:00:00,1.0863,1.08774,1.08629,1.08756,9376,2,0
2024-01-17 00:00:00,1.08725,1.08822,1.08694,1.08769,6299,2,0
2024-01-17 04:00:00,1.08771,1.08844,1.08608,1.08647,7559,2,0
2024-01-17 08:00:00,1.08649,1.08816,1.08554,1.08767,18273,2,0
2024-01-17 12:00:00,1.08762,1.08838,1.08511,1.08639,18653,2,0
2024-01-17 16:00:00,1.08638,1.08708,1.08445,1.08669,23793,2,0
2024-01-17 20:00:00,1.0867,1.08827,1.08565,1.08815,10985,2,0
2024-01-18 00:00:00,1.08823,1.09008,1.0879,1.08962,7506,2,0
2024-01-18 04:00:00,1.08959,1.09028,1.08903,1.0895,7061,2,0
2024-01-18 08:00:00,1.08949,1.09066,1.08765,1.08846,13899,2,0
2024-01-18 12:00:00,1.08845,1.0896,1.08503,1.08526,18122,2,0
2024-01-18 16:00:00,1.08524,1.087,1.08466,1.08596,26273,2,0
2024-01-18 20:00:00,1.08597,1.08774,1.08542,1.08755,10928,2,0
2024-01-19 00:00:00,1.08745,1.08872,1.08678,1.08856,6558,2,0
2024-01-19 04:00:00,1.08855,1.08896,1.08794,1.08809,5601,2,0
2024-01-19 08:00:00,1.08804,1.08864,1.0868,1.08828,13556,2,0
2024-01-19 12:00:00,1.08828,1.0893,1.0873,1.08806,14125,2,0
2024-01-19 16:00:00,1.08805,1.08932,1.08656,1.08896,22674,2,0
2024-01-19 20:00:00,1.08896,1.08977,1.08856,1.08974,9621,2,0
2024-01-22 00:00:00,1.08916,1.09049,1.08856,1.09018,6505,2,0
2024-01-22 04:00:00,1.09019,1.0909200000000001,1.08984,1.09016,5490,2,0
2024-01-22 08:00:00,1.09015,1.09095,1.08871,1.08968,13256,2,0
2024-01-22 12:00:00,1.08967,1.08996,1.088,1.08917,13930,2,0
2024-01-22 16:00:00,1.08916,1.09,1.08817,1.08963,15717,2,0
2024-01-22 20:00:00,1.08964,1.08964,1.08802,1.0882,8388,2,0
2024-01-23 00:00:00,1.08828,1.08884,1.08755,1.08882,4320,2,0
2024-01-23 04:00:00,1.08883,1.09079,1.0884800000000001,1.09068,8140,2,0
2024-01-23 08:00:00,1.0907,1.09159,1.08837,1.08875,15409,2,0
2024-01-23 12:00:00,1.08874,1.08883,1.086,1.0874,13333,2,0
2024-01-23 16:00:00,1.08739,1.0874,1.08215,1.08313,19774,2,0
2024-01-23 20:00:00,1.08314,1.08559,1.08302,1.08533,7329,2,0
2024-01-24 00:00:00,1.08467,1.08597,1.08449,1.0858,5124,2,0
2024-01-24 04:00:00,1.08581,1.0866,1.08532,1.08619,5785,2,0
2024-01-24 08:00:00,1.08619,1.09076,1.08602,1.09028,16536,2,0
2024-01-24 12:00:00,1.09027,1.09271,1.08873,1.0925,16192,2,0
2024-01-24 16:00:00,1.0925,1.09324,1.08904,1.09052,25115,2,0
2024-01-24 20:00:00,1.0905,1.09059,1.08775,1.08846,11967,2,0
2024-01-25 00:00:00,1.08841,1.08865,1.08702,1.08775,6141,2,0
2024-01-25 04:00:00,1.08776,1.08818,1.08744,1.08782,5439,2,0
2024-01-25 08:00:00,1.08783,1.08997,1.08756,1.08958,12713,2,0
2024-01-25 12:00:00,1.08959,1.09017,1.08668,1.08788,17688,2,0
2024-01-25 16:00:00,1.08791,1.08791,1.0824,1.08374,27729,2,0
2024-01-25 20:00:00,1.08375,1.0848,1.08215,1.08473,12028,2,0
2024-01-26 00:00:00,1.0842,1.08476,1.08374,1.08445,5691,2,0
2024-01-26 04:00:00,1.08444,1.08489,1.08378,1.08424,4895,2,0
2024-01-26 08:00:00,1.08424,1.08505,1.08128,1.08441,15801,2,0
2024-01-26 12:00:00,1.08442,1.08855,1.08442,1.08719,17116,2,0
2024-01-26 16:00:00,1.08719,1.08803,1.08551,1.08637,20328,2,0
2024-01-26 20:00:00,1.08636,1.08659,1.08519,1.08528,7701,2,0
2024-01-29 00:00:00,1.08435,1.08491,1.0841,1.08439,4312,2,0
2024-01-29 04:00:00,1.0844,1.08476,1.08393,1.08399,4085,2,0
2024-01-29 08:00:00,1.084,1.085,1.0823,1.08251,11383,2,0
2024-01-29 12:00:00,1.08252,1.08368,1.08138,1.0820400000000001,12700,2,0
2024-01-29 16:00:00,1.08203,1.08226,1.07959,1.08117,15516,2,0
2024-01-29 20:00:00,1.08118,1.08403,1.08093,1.08343,9533,2,0
2024-01-30 00:00:00,1.08316,1.0842,1.08287,1.08348,5220,2,0
2024-01-30 04:00:00,1.08347,1.08361,1.08218,1.08224,5229,2,0
2024-01-30 08:00:00,1.08225,1.0832,1.08119,1.08268,13370,2,0
2024-01-30 12:00:00,1.08268,1.08498,1.0823,1.08344,13399,2,0
2024-01-30 16:00:00,1.08345,1.08572,1.0828,1.08388,21396,2,0
2024-01-30 20:00:00,1.0838700000000001,1.08485,1.08315,1.08454,8518,2,0
2024-01-31 00:00:00,1.08402,1.0848200000000001,1.08312,1.08312,7734,2,0
2024-01-31 04:00:00,1.08311,1.08312,1.08159,1.08206,7133,2,0
2024-01-31 08:00:00,1.0820400000000001,1.08368,1.08059,1.08223,17074,2,0
2024-01-31 12:00:00,1.08223,1.08629,1.08212,1.08575,17747,2,0
2024-01-31 16:00:00,1.08574,1.08873,1.08417,1.08497,29962,2,0
2024-01-31 20:00:00,1.08496,1.08641,1.07945,1.08181,32712,2,0
2024-02-01 00:00:00,1.08166,1.08197,1.08017,1.08089,7474,2,0
2024-02-01 04:00:00,1.08086,1.08217,1.08027,1.08027,9147,2,0
2024-02-01 08:00:00,1.08028,1.08049,1.07799,1.07983,17707,2,0
2024-02-01 12:00:00,1.07987,1.08273,1.07914,1.08138,21934,2,0
2024-02-01 16:00:00,1.08138,1.08747,1.08038,1.08727,31478,2,0
2024-02-01 20:00:00,1.08727,1.08748,1.08627,1.08713,15537,2,0
2024-02-02 00:00:00,1.0872,1.08798,1.08638,1.08715,5553,2,0
2024-02-02 04:00:00,1.08716,1.08824,1.08713,1.08775,6348,2,0
2024-02-02 08:00:00,1.08774,1.08975,1.08735,1.08908,13250,2,0
2024-02-02 12:00:00,1.08906,1.0895,1.08036,1.08072,18582,2,0
2024-02-02 16:00:00,1.08071,1.08168,1.07808,1.07833,30032,2,0
2024-02-02 20:00:00,1.07835,1.07974,1.07804,1.07888,13667,2,0
2024-02-05 00:00:00,1.07827,1.07871,1.07672,1.07782,10706,2,0
2024-02-05 04:00:00,1.07782,1.07821,1.07732,1.0782,7751,2,0
2024-02-05 08:00:00,1.07821,1.07861,1.07518,1.07536,14485,2,0
2024-02-05 12:00:00,1.07536,1.07586,1.07361,1.07374,16141,2,0
2024-02-05 16:00:00,1.07374,1.07448,1.07231,1.07393,20436,2,0
2024-02-05 20:00:00,1.07392,1.07466,1.07367,1.07412,8817,2,0
2024-02-06 00:00:00,1.07419,1.07472,1.07373,1.07452,5261,2,0
2024-02-06 04:00:00,1.07453,1.07542,1.07433,1.07536,7292,2,0
2024-02-06 08:00:00,1.07535,1.07623,1.07254,1.0729,15627,2,0
2024-02-06 12:00:00,1.07291,1.0744,1.07225,1.07304,14764,2,0
2024-02-06 16:00:00,1.07305,1.07551,1.0729,1.0751,22929,2,0
2024-02-06 20:00:00,1.0751,1.07574,1.07433,1.07549,12977,2,0
2024-02-07 00:00:00,1.07535,1.07649,1.07489,1.07636,5475,2,0
2024-02-07 04:00:00,1.07636,1.07664,1.07565,1.07628,6379,2,0
2024-02-07 08:00:00,1.07629,1.07735,1.07567,1.07693,13838,2,0
2024-02-07 12:00:00,1.07692,1.07839,1.07623,1.07702,17233,2,0
2024-02-07 16:00:00,1.07702,1.07798,1.07557,1.07648,24496,2,0
2024-02-07 20:00:00,1.07647,1.07753,1.07645,1.07735,11152,2,0
2024-02-08 00:00:00,1.0771600000000001,1.07797,1.0768,1.07785,5432,2,0
2024-02-08 04:00:00,1.07786,1.07882,1.07783,1.07826,6094,2,0
2024-02-08 08:00:00,1.07827,1.07888,1.07684,1.0783,15087,2,0
2024-02-08 12:00:00,1.07831,1.07856,1.07415,1.0744,16030,2,0
2024-02-08 16:00:00,1.07439,1.07766,1.07435,1.07735,19021,2,0
2024-02-08 20:00:00,1.07736,1.07828,1.07725,1.07779,10270,2,0
2024-02-09 00:00:00,1.07774,1.07789,1.07722,1.07744,5298,2,0
2024-02-09 04:00:00,1.07743,1.07783,1.07693,1.0771,5059,2,0
2024-02-09 08:00:00,1.07711,1.07847,1.0766,1.07671,13784,2,0
2024-02-09 12:00:00,1.0767,1.07946,1.0762,1.07832,19540,2,0
2024-02-09 16:00:00,1.0783,1.0795,1.07749,1.07854,21094,2,0
2024-02-09 20:00:00,1.07855,1.07908,1.07796,1.07844,6716,2,0
2024-02-12 00:00:00,1.07814,1.07998,1.07786,1.07954,5556,2,0
2024-02-12 04:00:00,1.07955,1.07977,1.07893,1.07914,3096,2,0
2024-02-12 08:00:00,1.07915,1.08056,1.07667,1.0769,12325,2,0
2024-02-12 12:00:00,1.07691,1.07788,1.07611,1.07639,13998,2,0
2024-02-12 16:00:00,1.07638,1.07825,1.07559,1.07823,15281,2,0
2024-02-12 20:00:00,1.07824,1.0786,1.07678,1.0772,9649,2,0
2024-02-13 00:00:00,1.07734,1.07746,1.07656,1.07667,4104,2,0
2024-02-13 04:00:00,1.07667,1.07679,1.07605,1.07668,4145,2,0
2024-02-13 08:00:00,1.07669,1.07776,1.07567,1.0766499999999999,12738,2,0
2024-02-13 12:00:00,1.07667,1.07968,1.07029,1.07085,18548,2,0
2024-02-13 16:00:00,1.07083,1.07268,1.07006,1.07153,26495,2,0
2024-02-13 20:00:00,1.07154,1.07202,1.07006,1.07094,11264,2,0
2024-02-14 00:00:00,1.0708,1.07144,1.07034,1.07116,6238,2,0
2024-02-14 04:00:00,1.07117,1.07151,1.07081,1.0714,6871,2,0
2024-02-14 08:00:00,1.0714,1.07187,1.06947,1.07,14705,2,0
2024-02-14 12:00:00,1.07,1.07168,1.06963,1.07086,15049,2,0
2024-02-14 16:00:00,1.07087,1.07344,1.07065,1.07306,21681,2,0
2024-02-14 20:00:00,1.07307,1.07338,1.07256,1.07276,9483,2,0
2024-02-15 00:00:00,1.07268,1.07356,1.07254,1.07284,4866,2,0
2024-02-15 04:00:00,1.07283,1.07322,1.07246,1.0729,4761,2,0
2024-02-15 08:00:00,1.07291,1.07414,1.07271,1.07331,13373,2,0
2024-02-15 12:00:00,1.0733,1.07725,1.07306,1.07664,16466,2,0
2024-02-15 16:00:00,1.07664,1.07847,1.07551,1.07625,23696,2,0
2024-02-15 20:00:00,1.07624,1.07736,1.07605,1.07732,10064,2,0
2024-02-16 00:00:00,1.077,1.07767,1.07611,1.07648,4766,2,0
2024-02-16 04:00:00,1.07648,1.07651,1.07572,1.07602,6533,2,0
2024-02-16 08:00:00,1.07603,1.07717,1.07585,1.07659,13415,2,0
2024-02-16 12:00:00,1.07661,1.078,1.07321,1.0746,15180,2,0
2024-02-16 16:00:00,1.07465,1.07779,1.07409,1.0777700000000001,24178,2,0
2024-02-16 20:00:00,1.07778,1.07875,1.07728,1.07762,10346,2,0
2024-02-19 00:00:00,1.07734,1.0789,1.07707,1.07804,6042,2,0
2024-02-19 04:00:00,1.07803,1.07833,1.07748,1.07818,5379,2,0
2024-02-19 08:00:00,1.07816,1.07894,1.07721,1.07747,10601,2,0
2024-02-19 12:00:00,1.07748,1.07818,1.07675,1.07702,10888,2,0
2024-02-19 16:00:00,1.07701,1.07764,1.0762,1.07761,8324,2,0
2024-02-19 20:00:00,1.07759,1.07835,1.07759,1.07794,1656,2,0
2024-02-20 00:00:00,1.07778,1.07797,1.07649,1.07658,7686,2,0
2024-02-20 04:00:00,1.0766,1.07711,1.07615,1.0768,7878,2,0
2024-02-20 08:00:00,1.07681,1.07989,1.07672,1.07978,14431,2,0
2024-02-20 12:00:00,1.07977,1.08249,1.07935,1.0823,19309,2,0
2024-02-20 16:00:00,1.08231,1.08388,1.08091,1.08118,20123,2,0
2024-02-20 20:00:00,1.08117,1.0813,1.08042,1.08083,10050,2,0
2024-02-21 00:00:00,1.08063,1.08127,1.08053,1.0812,6191,2,0
2024-02-21 04:00:00,1.08121,1.08189,1.0812,1.08151,6939,2,0
2024-02-21 08:00:00,1.08151,1.08152,1.07898,1.07998,12100,2,0
2024-02-21 12:00:00,1.07998,1.08114,1.07941,1.081,14257,2,0
2024-02-21 16:00:00,1.08101,1.082,1.08009,1.08076,18497,2,0
2024-02-21 20:00:00,1.08075,1.08241,1.07998,1.08173,18026,2,0
2024-02-22 00:00:00,1.08167,1.08317,1.08128,1.0826500000000001,5429,2,0
2024-02-22 04:00:00,1.08264,1.08378,1.08189,1.08332,5304,2,0
2024-02-22 08:00:00,1.08333,1.0888,1.08329,1.08528,18032,2,0
2024-02-22 12:00:00,1.08526,1.08589,1.08211,1.0823,18110,2,0
2024-02-22 16:00:00,1.0823,1.08245,1.08027,1.08201,21639,2,0
2024-02-22 20:00:00,1.08202,1.08262,1.08144,1.08234,9980,2,0
2024-02-23 00:00:00,1.08205,1.08318,1.08147,1.0827,6921,2,0
2024-02-23 04:00:00,1.08273,1.08304,1.08209,1.08227,9621,2,0
2024-02-23 08:00:00,1.08227,1.08325,1.08138,1.08173,13131,2,0
2024-02-23 12:00:00,1.08174,1.08395,1.08169,1.08319,16610,2,0
2024-02-23 16:00:00,1.08318,1.08369,1.08118,1.08247,22866,2,0
2024-02-23 20:00:00,1.08247,1.08295,1.08176,1.08207,8981,2,0
2024-02-26 00:00:00,1.08262,1.08262,1.0812599999999999,1.08165,6735,2,0
2024-02-26 04:00:00,1.08164,1.08242,1.08142,1.08232,5751,2,0
2024-02-26 08:00:00,1.08231,1.08404,1.08219,1.08399,13178,2,0
2024-02-26 12:00:00,1.084,1.08596,1.08384,1.0858,11832,2,0
2024-02-26 16:00:00,1.0858,1.08587,1.08386,1.08453,16933,2,0
2024-02-26 20:00:00,1.08452,1.08526,1.08396,1.08509,9581,2,0
2024-02-27 00:00:00,1.08485,1.08512,1.08452,1.085,6577,2,0
2024-02-27 04:00:00,1.085,1.0855299999999999,1.0848200000000001,1.08519,9079,2,0
2024-02-27 08:00:00,1.08521,1.08659,1.0847,1.0853,11917,2,0
2024-02-27 12:00:00,1.08529,1.08632,1.08418,1.0848,13355,2,0
2024-02-27 16:00:00,1.0848,1.08578,1.08329,1.08508,18922,2,0
2024-02-27 20:00:00,1.08509,1.08566,1.08406,1.08447,11143,2,0
2024-02-28 00:00:00,1.0845,1.08467,1.08378,1.08395,6265,2,0
2024-02-28 04:00:00,1.08394,1.08403,1.08254,1.08267,6025,2,0
2024-02-28 08:00:00,1.0826500000000001,1.08294,1.07966,1.07998,16405,2,0
2024-02-28 12:00:00,1.07997,1.08307,1.07992,1.08276,18455,2,0
2024-02-28 16:00:00,1.08275,1.08458,1.08213,1.08383,18369,2,0
2024-02-28 20:00:00,1.08384,1.08404,1.08324,1.08376,7898,2,0
2024-02-29 00:00:00,1.08355,1.08401,1.08277,1.08288,8851,2,0
2024-02-29 04:00:00,1.0829,1.08379,1.08286,1.08354,12356,2,0
2024-02-29 08:00:00,1.08353,1.0852,1.08258,1.08504,18520,2,0
2024-02-29 12:00:00,1.08505,1.08542,1.08217,1.08378,19244,2,0
2024-02-29 16:00:00,1.08376,1.08558,1.07958,1.07998,26877,2,0
2024-02-29 20:00:00,1.07998,1.08112,1.07984,1.08045,12668,2,0
2024-03-01 00:00:00,1.08014,1.08213,1.0801,1.08212,7297,2,0
2024-03-01 04:00:00,1.08211,1.08219,1.0811,1.08121,5430,2,0
2024-03-01 08:00:00,1.0812,1.08198,1.08081,1.0815,16302,2,0
2024-03-01 12:00:00,1.08152,1.0824799999999999,1.07983,1.08127,19269,2,0
2024-03-01 16:00:00,1.08128,1.08416,1.07979,1.08376,21565,2,0
2024-03-01 20:00:00,1.08375,1.0843099999999999,1.08314,1.08399,9741,2,0
2024-03-04 00:00:00,1.08362,1.08479,1.0836,1.08401,6707,2,0
2024-03-04 04:00:00,1.084,1.08468,1.08384,1.08444,4935,2,0
2024-03-04 08:00:00,1.08443,1.08579,1.08376,1.0849,12872,2,0
2024-03-04 12:00:00,1.08489,1.08576,1.084,1.08487,13379,2,0
2024-03-04 16:00:00,1.08486,1.08668,1.08448,1.08579,17277,2,0
2024-03-04 20:00:00,1.08579,1.08606,1.08549,1.08559,8087,2,0
2024-03-05 00:00:00,1.0854300000000001,1.0858,1.08474,1.08494,7691,2,0
2024-03-05 04:00:00,1.08494,1.08547,1.0848200000000001,1.08529,4377,2,0
2024-03-05 08:00:00,1.0853,1.08558,1.08415,1.08513,12827,2,0
2024-03-05 12:00:00,1.08513,1.08548,1.08419,1.08462,15006,2,0
2024-03-05 16:00:00,1.08463,1.0876,1.08404,1.08598,21792,2,0
2024-03-05 20:00:00,1.08599,1.086,1.08489,1.08563,9939,2,0
2024-03-06 00:00:00,1.08551,1.08586,1.08419,1.08438,8097,2,0
2024-03-06 04:00:00,1.08439,1.08568,1.08438,1.0855,6016,2,0
2024-03-06 08:00:00,1.0855,1.08778,1.08547,1.08764,12277,2,0
2024-03-06 12:00:00,1.08764,1.08851,1.08673,1.0884800000000001,13611,2,0
2024-03-06 16:00:00,1.08845,1.0915300000000001,1.08812,1.09022,24660,2,0
2024-03-06 20:00:00,1.09024,1.09078,1.08928,1.08979,14676,2,0
2024-03-07 00:00:00,1.08948,1.09072,1.08945,1.08977,7477,2,0
2024-03-07 04:00:00,1.08977,1.09055,1.08934,1.09003,7429,2,0
2024-03-07 08:00:00,1.09001,1.09043,1.08876,1.09016,13784,2,0
2024-03-07 12:00:00,1.09016,1.09018,1.08677,1.08722,17906,2,0
2024-03-07 16:00:00,1.08722,1.0942,1.0869,1.0937000000000001,23582,2,0
2024-03-07 20:00:00,1.09369,1.09491,1.09364,1.09488,8291,2,0
2024-03-08 00:00:00,1.09445,1.09556,1.0943100000000001,1.0948,6643,2,0
2024-03-08 04:00:00,1.09479,1.09507,1.0944,1.09465,6422,2,0
2024-03-08 08:00:00,1.09464,1.09511,1.0926,1.09352,16400,2,0
2024-03-08 12:00:00,1.09352,1.09811,1.09175,1.0958,20184,2,0
2024-03-08 16:00:00,1.0958,1.09664,1.09367,1.09392,27271,2,0
2024-03-08 20:00:00,1.09394,1.09438,1.09333,1.09391,11608,2,0
2024-03-11 00:00:00,1.09391,1.09464,1.09358,1.09422,5939,2,0
2024-03-11 04:00:00,1.0942,1.09456,1.09369,1.09386,8520,2,0
2024-03-11 08:00:00,1.09388,1.09479,1.09353,1.09445,11698,2,0
2024-03-11 12:00:00,1.09445,1.09449,1.09292,1.09295,12355,2,0
2024-03-11 16:00:00,1.09294,1.09316,1.09144,1.09272,18029,2,0
2024-03-11 20:00:00,1.09273,1.09303,1.09183,1.09265,11496,2,0
2024-03-12 00:00:00,1.09227,1.09322,1.0919699999999999,1.09286,6447,2,0
2024-03-12 04:00:00,1.09285,1.09381,1.09268,1.09369,6176,2,0
2024-03-12 08:00:00,1.09369,1.09393,1.09211,1.0924800000000001,9796,2,0
2024-03-12 12:00:00,1.09247,1.09437,1.09023,1.09199,19980,2,0
2024-03-12 16:00:00,1.092,1.09229,1.09021,1.09175,24515,2,0
2024-03-12 20:00:00,1.09175,1.09274,1.09126,1.09268,11725,2,0
2024-03-13 00:00:00,1.09256,1.09296,1.09244,1.09269,8973,2,0
2024-03-13 04:00:00,1.09268,1.09307,1.0922,1.09234,9907,2,0
2024-03-13 08:00:00,1.09234,1.09328,1.09208,1.09277,11762,2,0
2024-03-13 12:00:00,1.09277,1.09472,1.092,1.09366,15362,2,0
2024-03-13 16:00:00,1.09367,1.09494,1.09314,1.0949,16846,2,0
2024-03-13 20:00:00,1.0949,1.09636,1.09455,1.09477,10232,2,0
2024-03-14 00:00:00,1.0950199999999999,1.09547,1.09454,1.09487,5319,2,0
2024-03-14 04:00:00,1.09488,1.09528,1.09389,1.09425,5718,2,0
2024-03-14 08:00:00,1.09424,1.0944099999999999,1.09316,1.09376,10891,2,0
2024-03-14 12:00:00,1.09376,1.09453,1.0924,1.093,14721,2,0
2024-03-14 16:00:00,1.09299,1.09312,1.08829,1.08871,25505,2,0
2024-03-14 20:00:00,1.0887,1.08919,1.08805,1.08839,10572,2,0
2024-03-15 00:00:00,1.08836,1.08861,1.0876,1.08777,5868,2,0
2024-03-15 04:00:00,1.08778,1.08802,1.08728,1.08764,7510,2,0
2024-03-15 08:00:00,1.08765,1.08869,1.08732,1.08829,10312,2,0
2024-03-15 12:00:00,1.08828,1.08997,1.08826,1.08872,14029,2,0
2024-03-15 16:00:00,1.08872,1.08949,1.08813,1.08858,19274,2,0
2024-03-15 20:00:00,1.0886,1.08914,1.08833,1.08885,9459,2,0
2024-03-18 00:00:00,1.08898,1.08912,1.08792,1.08853,4525,2,0
2024-03-18 04:00:00,1.08852,1.08917,1.08827,1.08876,5167,2,0
2024-03-18 08:00:00,1.08874,1.08978,1.08851,1.08936,8643,2,0
2024-03-18 12:00:00,1.08937,1.09061,1.08898,1.08922,11678,2,0
2024-03-18 16:00:00,1.0892,1.08935,1.08694,1.08723,14851,2,0
2024-03-18 20:00:00,1.08723,1.08751,1.08658,1.08717,7110,2,0
2024-03-19 00:00:00,1.0873,1.08746,1.08692,1.08694,5399,2,0
2024-03-19 04:00:00,1.08695,1.08766,1.08666,1.08704,11924,2,0
2024-03-19 08:00:00,1.08705,1.0872,1.08423,1.08474,13384,2,0
2024-03-19 12:00:00,1.08473,1.08561,1.08346,1.08516,16713,2,0
2024-03-19 16:00:00,1.08515,1.08655,1.08493,1.08634,16304,2,0
2024-03-19 20:00:00,1.08635,1.08674,1.08596,1.08655,8773,2,0
2024-03-20 00:00:00,1.08647,1.08668,1.08582,1.08644,5547,2,0
2024-03-20 04:00:00,1.08645,1.0871,1.08621,1.08666,4632,2,0
2024-03-20 08:00:00,1.08667,1.08721,1.085,1.08521,9185,2,0
2024-03-20 12:00:00,1.08519,1.08523,1.08363,1.08422,14499,2,0
2024-03-20 16:00:00,1.08421,1.08611,1.08372,1.08607,11556,2,0
2024-03-20 20:00:00,1.08607,1.09228,1.08586,1.09226,24615,2,0
2024-03-21 00:00:00,1.092,1.09374,1.09167,1.09333,7820,2,0
2024-03-21 04:00:00,1.09333,1.0939,1.09325,1.0933,7234,2,0
2024-03-21 08:00:00,1.0933,1.09425,1.08871,1.08913,14270,2,0
2024-03-21 12:00:00,1.08914,1.09235,1.08889,1.09115,19509,2,0
2024-03-21 16:00:00,1.09114,1.09118,1.08557,1.08608,24945,2,0
2024-03-21 20:00:00,1.08608,1.08663,1.0855299999999999,1.08595,8702,2,0
2024-03-22 00:00:00,1.08589,1.0868,1.08581,1.08652,4506,2,0
2024-03-22 04:00:00,1.08651,1.08658,1.0831,1.08332,9793,2,0
2024-03-22 08:00:00,1.08332,1.0842,1.0808,1.08116,14041,2,0
2024-03-22 12:00:00,1.08117,1.0831,1.08114,1.08263,17080,2,0
2024-03-22 16:00:00,1.08264,1.08318,1.08057,1.08057,14763,2,0
2024-03-22 20:00:00,1.08057,1.08106,1.08017,1.08087,5938,2,0
2024-03-25 00:00:00,1.08083,1.08102,1.08025,1.08035,4105,2,0
2024-03-25 04:00:00,1.08036,1.0822,1.0802,1.08131,8786,2,0
2024-03-25 08:00:00,1.08132,1.08237,1.0807,1.08137,9244,2,0
2024-03-25 12:00:00,1.08137,1.0834,1.08116,1.08306,10491,2,0
2024-03-25 16:00:00,1.08305,1.08425,1.08291,1.08366,13164,2,0
2024-03-25 20:00:00,1.08365,1.08407,1.08331,1.08366,5867,2,0
2024-03-26 00:00:00,1.08376,1.08429,1.0832600000000001,1.08426,5331,2,0
2024-03-26 04:00:00,1.08427,1.08454,1.08357,1.08402,5839,2,0
2024-03-26 08:00:00,1.084,1.08528,1.08385,1.08495,10022,2,0
2024-03-26 12:00:00,1.08494,1.08643,1.08454,1.0852,17421,2,0
2024-03-26 16:00:00,1.08519,1.08585,1.08241,1.08282,15999,2,0
2024-03-26 20:00:00,1.08283,1.08357,1.08266,1.08313,6531,2,0
2024-03-27 00:00:00,1.08312,1.08332,1.08273,1.08295,4534,2,0
2024-03-27 04:00:00,1.08294,1.08308,1.0820400000000001,1.08299,7239,2,0
2024-03-27 08:00:00,1.08298,1.08337,1.08213,1.08285,9237,2,0
2024-03-27 12:00:00,1.08286,1.08391,1.0815,1.08188,13743,2,0
2024-03-27 16:00:00,1.0818699999999999,1.08257,1.08108,1.08231,15577,2,0
2024-03-27 20:00:00,1.08231,1.0829,1.08174,1.08279,8555,2,0
2024-03-28 00:00:00,1.0824,1.08273,1.08078,1.08175,6408,2,0
2024-03-28 04:00:00,1.08174,1.08259,1.08148,1.08234,6175,2,0
2024-03-28 08:00:00,1.08234,1.08266,1.07897,1.07919,10645,2,0
2024-03-28 12:00:00,1.07918,1.08088,1.07751,1.0808200000000001,15515,2,0
2024-03-28 16:00:00,1.0808,1.08186,1.07928,1.07994,20632,2,0
2024-03-28 20:00:00,1.07993,1.08019,1.07846,1.07868,7890,2,0
2024-03-29 00:00:00,1.07863,1.07923,1.07836,1.07836,5085,2,0
2024-03-29 04:00:00,1.07836,1.07844,1.07737,1.07767,3649,2,0
2024-03-29 08:00:00,1.07767,1.07813,1.07675,1.07785,4520,2,0
2024-03-29 12:00:00,1.07785,1.08051,1.07727,1.07982,7633,2,0
2024-03-29 16:00:00,1.07983,1.08034,1.07867,1.07877,6085,2,0
2024-03-29 20:00:00,1.07876,1.0796000000000001,1.07875,1.07928,4903,2,0
2024-04-01 00:00:00,1.07892,1.07988,1.07849,1.07913,6790,2,0
2024-04-01 04:00:00,1.07913,1.07946,1.0784,1.07868,7119,2,0
2024-04-01 08:00:00,1.07867,1.07921,1.07828,1.07897,6419,2,0
2024-04-01 12:00:00,1.07898,1.0790899999999999,1.0777,1.07817,8777,2,0
2024-04-01 16:00:00,1.07817,1.07831,1.07309,1.07365,19451,2,0
2024-04-01 20:00:00,1.07365,1.0744,1.07365,1.07425,7252,2,0
2024-04-02 00:00:00,1.07398,1.07443,1.07309,1.07371,5703,2,0
2024-04-02 04:00:00,1.0737,1.07381,1.07292,1.07332,5263,2,0
2024-04-02 08:00:00,1.07332,1.07428,1.07244,1.07314,14424,2,0
2024-04-02 12:00:00,1.07311,1.0756000000000001,1.07311,1.0749,14486,2,0
2024-04-02 16:00:00,1.07489,1.07791,1.07479,1.07683,18581,2,0
2024-04-02 20:00:00,1.07682,1.07689,1.07602,1.07684,5531,2,0
2024-04-03 00:00:00,1.07699,1.07738,1.07658,1.07686,4499,2,0
2024-04-03 04:00:00,1.07686,1.07793,1.07657,1.07746,6705,2,0
2024-04-03 08:00:00,1.07747,1.07774,1.07639,1.07715,9118,2,0
2024-04-03 12:00:00,1.0771,1.07863,1.0765,1.0777700000000001,12866,2,0
2024-04-03 16:00:00,1.07778,1.08362,1.0777700000000001,1.08306,24277,2,0
2024-04-03 20:00:00,1.08307,1.08368,1.08255,1.08366,9368,2,0
2024-04-04 00:00:00,1.08337,1.08433,1.08325,1.0843099999999999,3891,2,0
